capture_index,scene,demo_time_ms,render_frame,mae,rmse,psnr,changed_ratio,mean_luma_delta,max_channel_diff,diff_scope,bbox,java_frame_path,reference_frame_path
0,,333,0,3.0354,24.7678,20.2530,0.0194,-3.0354,255,local,"159,130,337,152",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000000_t00000333_f000000.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000000_t00000333.png
1,mute95,4002,1085,7.1561,19.1671,22.4797,0.3228,1.9487,119,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000001_t00004002_f001085.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000001_t00004002.png
2,mute95,8001,2277,23.0661,40.1571,16.0556,0.8912,8.0711,139,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000002_t00008001_f002277.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000002_t00008001.png
3,mute95,12000,3462,41.0071,58.0498,12.8548,1.0000,21.1185,147,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000003_t00012000_f003462.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000003_t00012000.png
4,mute95,16000,4649,63.1487,74.6283,10.6727,1.0000,45.6371,159,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000004_t00016000_f004649.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000004_t00016000.png
5,mute95,20001,5824,85.6913,91.5990,8.8930,1.0000,72.5808,162,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000005_t00020001_f005824.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000005_t00020001.png
6,mute95,24002,7015,99.4427,103.4605,7.8353,1.0000,88.6002,171,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000006_t00024002_f007015.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000006_t00024002.png
7,mute95,28000,8206,119.1535,125.6535,6.1473,1.0000,110.4161,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000007_t00028000_f008206.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000007_t00028000.png
8,mute95,32000,9391,123.7509,127.9046,5.9931,0.9999,114.1710,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000008_t00032000_f009391.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000008_t00032000.png
9,mute95,36002,10576,134.6865,136.8263,5.4074,1.0000,129.6992,207,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000009_t00036002_f010576.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000009_t00036002.png
10,mute95,40002,11760,152.4991,155.7922,4.2799,1.0000,151.4562,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000010_t00040002_f011760.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000010_t00040002.png
11,mute95,44002,12941,160.9553,163.2296,3.8748,1.0000,161.0638,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000011_t00044002_f012941.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000011_t00044002.png
12,mute95,48000,14121,178.4359,180.5394,2.9994,1.0000,179.8244,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000012_t00048000_f014121.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000012_t00048000.png
13,mute95,52000,15303,191.0600,192.7411,2.4313,1.0000,190.6601,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000013_t00052000_f015303.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000013_t00052000.png
14,mute95,56001,16487,207.5894,208.3153,1.7564,1.0000,206.7036,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000014_t00056001_f016487.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000014_t00056001.png
15,mute95,60002,17673,226.1288,226.5620,1.0271,1.0000,225.7228,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000015_t00060002_f017673.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000015_t00060002.png
16,mute95,64004,18863,238.4133,239.1167,0.5586,0.9996,238.2236,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000016_t00064004_f018863.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000016_t00064004.png
17,mute95,68000,20051,250.9533,251.0092,0.1370,1.0000,251.2237,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000017_t00068000_f020051.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000017_t00068000.png
18,mute95,72001,21239,251.6766,252.3199,0.0918,1.0000,251.3250,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000018_t00072001_f021239.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000018_t00072001.png
19,mute95,76001,22430,251.8578,252.7614,0.0766,0.9988,252.1803,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000019_t00076001_f022430.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000019_t00076001.png
20,domina,80000,23618,83.5639,88.4278,9.1990,0.9548,-82.8933,142,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000020_t00080000_f023618.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000020_t00080000.png
21,domina,84000,24808,65.3130,75.5842,10.5622,0.9551,-51.5488,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000021_t00084000_f024808.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000021_t00084000.png
22,domina,88000,26007,27.3592,45.0521,15.0565,0.4303,-6.4496,236,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000022_t00088000_f026007.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000022_t00088000.png
23,domina,92000,27204,14.7803,23.2627,20.7976,0.2845,-11.9098,138,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000023_t00092000_f027204.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000023_t00092000.png
24,domina,96000,28400,11.8558,18.6457,22.7192,0.2203,-11.8865,83,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000024_t00096000_f028400.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000024_t00096000.png
25,saari,100005,29589,79.0043,104.6718,7.7342,0.9825,59.9606,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000025_t00100005_f029589.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000025_t00100005.png
26,saari,104002,30536,41.2489,58.8953,12.7292,0.8134,-26.4175,255,global,"0,0,511,255",C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/java/frames/frame_000026_t00104002_f030536.png,C:/works/projects/preservation-forward-by-komplex/documentation/reference-capture/reference/frames/ref_000026_t00104002.png
