capture_index,demo_time_ms,video_time_ms,scene,frame_path
0,333,333,,frames/ref_000000_t00000333.png
1,4002,4002,mute95,frames/ref_000001_t00004002.png
2,8001,8001,mute95,frames/ref_000002_t00008001.png
3,12000,12000,mute95,frames/ref_000003_t00012000.png
4,16000,16000,mute95,frames/ref_000004_t00016000.png
5,20001,20001,mute95,frames/ref_000005_t00020001.png
6,24002,24002,mute95,frames/ref_000006_t00024002.png
7,28000,28000,mute95,frames/ref_000007_t00028000.png
8,32000,32000,mute95,frames/ref_000008_t00032000.png
9,36002,36002,mute95,frames/ref_000009_t00036002.png
10,40002,40002,mute95,frames/ref_000010_t00040002.png
11,44002,44002,mute95,frames/ref_000011_t00044002.png
12,48000,48000,mute95,frames/ref_000012_t00048000.png
13,52000,52000,mute95,frames/ref_000013_t00052000.png
14,56001,56001,mute95,frames/ref_000014_t00056001.png
15,60002,60002,mute95,frames/ref_000015_t00060002.png
16,64004,64004,mute95,frames/ref_000016_t00064004.png
17,68000,68000,mute95,frames/ref_000017_t00068000.png
18,72001,72001,mute95,frames/ref_000018_t00072001.png
19,76001,76001,mute95,frames/ref_000019_t00076001.png
20,80000,80000,domina,frames/ref_000020_t00080000.png
21,84000,84000,domina,frames/ref_000021_t00084000.png
22,88000,88000,domina,frames/ref_000022_t00088000.png
23,92000,92000,domina,frames/ref_000023_t00092000.png
24,96000,96000,domina,frames/ref_000024_t00096000.png
25,100005,100005,saari,frames/ref_000025_t00100005.png
26,104002,104002,saari,frames/ref_000026_t00104002.png
27,108000,108000,saari,frames/ref_000027_t00108000.png
28,112001,112001,saari,frames/ref_000028_t00112001.png
29,116002,116002,saari,frames/ref_000029_t00116002.png
30,120003,120003,saari,frames/ref_000030_t00120003.png
31,124000,124000,saari,frames/ref_000031_t00124000.png
32,128002,128002,saari,frames/ref_000032_t00128002.png
33,132001,132001,saari,frames/ref_000033_t00132001.png
34,136004,136004,saari,frames/ref_000034_t00136004.png
35,140002,140002,saari,frames/ref_000035_t00140002.png
36,144002,144002,saari,frames/ref_000036_t00144002.png
37,148002,148002,saari,frames/ref_000037_t00148002.png
38,152004,152004,saari,frames/ref_000038_t00152004.png
39,156000,156000,saari,frames/ref_000039_t00156000.png
40,160002,160002,kukot,frames/ref_000040_t00160002.png
41,164002,164002,kukot,frames/ref_000041_t00164002.png
42,168002,168002,kukot,frames/ref_000042_t00168002.png
43,172002,172002,kukot,frames/ref_000043_t00172002.png
44,176000,176000,kukot,frames/ref_000044_t00176000.png
45,180002,180002,kukot,frames/ref_000045_t00180002.png
46,184000,184000,kukot,frames/ref_000046_t00184000.png
47,188002,188002,kukot,frames/ref_000047_t00188002.png
48,192000,192000,kukot,frames/ref_000048_t00192000.png
49,196002,196002,kukot,frames/ref_000049_t00196002.png
50,200000,200000,kukot,frames/ref_000050_t00200000.png
51,204000,204000,kukot,frames/ref_000051_t00204000.png
52,208002,208002,maku,frames/ref_000052_t00208002.png
53,212002,212002,maku,frames/ref_000053_t00212002.png
54,216000,216000,maku,frames/ref_000054_t00216000.png
55,220000,220000,maku,frames/ref_000055_t00220000.png
56,224000,224000,maku,frames/ref_000056_t00224000.png
57,228005,228005,maku,frames/ref_000057_t00228005.png
58,232000,232000,watercube,frames/ref_000058_t00232000.png
59,236001,236001,watercube,frames/ref_000059_t00236001.png
60,240000,240000,watercube,frames/ref_000060_t00240000.png
61,244002,244002,watercube,frames/ref_000061_t00244002.png
62,248002,248002,watercube,frames/ref_000062_t00248002.png
63,252000,252000,watercube,frames/ref_000063_t00252000.png
64,256000,256000,feta,frames/ref_000064_t00256000.png
65,260000,260000,feta,frames/ref_000065_t00260000.png
66,264000,264000,feta,frames/ref_000066_t00264000.png
67,268002,268002,feta,frames/ref_000067_t00268002.png
68,272002,272002,feta,frames/ref_000068_t00272002.png
69,276000,276000,feta,frames/ref_000069_t00276000.png
70,280002,280002,uppol,frames/ref_000070_t00280002.png
71,284000,284000,uppol,frames/ref_000071_t00284000.png
72,288001,288001,uppol,frames/ref_000072_t00288001.png
73,292002,292002,uppol,frames/ref_000073_t00292002.png
74,296001,296001,uppol,frames/ref_000074_t00296001.png
75,300001,300001,uppol,frames/ref_000075_t00300001.png
